Name,IMDB Rating,Duration,Year,Age,Genres
The Legend of Tarzan,6.3,109 min,2016,13+,Action/Adventure
The Conjuring 2,7.4,133 min,2016,18+,"Horror, Thriller"
Anomalisa,7.3,90 min,2015,18+,"Animated, Drama: Mature"
Baghtos Kay Mujra Kar,8.8,141 min,2017,NR,"Drama: Family, Drama: Mystery, Romance: Drama, World Cinema: Indian"
13 Hours: The Secret Soldiers of Benghazi,7.3,144 min,2016,NR,Drama
Zoolander 2,4.8,101 min,2016,NR,Comedy
Shivaay,6.5,153 min,2016,13+,"Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Ae Dil Hai Mushkil,5.8,155 min,2016,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Baar Baar Dekho,5.2,135 min,2016,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, Sci-Fi/Fantasy, World Cinema: Indian"
Shor Se Shuruaat,7.3,122 min,2016,13+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Kabali,6.6,143 min,2016,All Ages,"Action/Adventure: Crime, Drama: Crime, World Cinema: Indian"
Gangster,6.6,139 min,2016,18+,"Romance, Romance: Thriller, World Cinema: Indian"
Magic Mike XXL,5.7,115 min,2015,18+,"Comedy: Drama, Comedy: Mature, Music/Musical: Ballet/Dance"
Wajah Tum Ho,4.3,130 min,2016,18+,"Bollywood: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery, World Cinema: Indian"
Sultan,7.2,169 min,2016,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, Sport: Wrestling, World Cinema: Indian"
Terminator Genisys,6.5,125 min,2015,13+,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Robots"
Get Hard,6,100 min,2015,18+,"Comedy: Crime, Comedy: Mature"
Tum Bin II,4.9,140 min,2016,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Hamari Adhuri Kahani,6.6,128 min,2015,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Khawto,6.6,131 min,2016,18+,"Thriller: Drama, Thriller: Romance, World Cinema: Indian"
Rock On 2,5,141 min,2016,NR,"Drama: Musical, World Cinema: Indian"
Striptease,4.3,115 min,1996,18+,"Comedy: Crime, Comedy: Drama, Comedy: Mature"
Batman v Superman: Dawn of Justice,6.7,151 min,2016,13+,Action/Adventure: Superheroes
Kapoor & Sons,7.8,137 min,2016,13+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Humpty Sharma Ki Dulhania,6,131 min,2014,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian"
