Name,IMDB Rating,Year,Age,Genres
The Grand Tour Season 1,9,2017,16+,"Comedy: Sport, Sport: Motor Sport, Documentary: Travel/Places of Interest"
The Man In the High Castle – Season 1,8.1,2015,18+,"Drama: Thriller, Drama: Political, Drama: War, Drama: Mystery, Thriller: Sci-Fi/Fantasy, Thriller: Mystery, Thriller: Drama"
Goliath – Season 1,8.3,2016,18+,"Drama: Thriller, Drama: Crime"
Z: The Beginning of Everything – Season 1,7.4,2017,18+,"Drama: Biography, Drama: Romance"
Sneaky Pete – Season 1,8.4,2017,18+,"Drama, Drama: Crime"
Fleabag – Season 1,8.2,2016,18+,Comedy: Mature
Hand of God – Season 2,n/a,2017,18+,Drama
The Kicks – Season 1,7.6,2016,All Ages,"Teen: Comedy, Sport: Football, Teen: Drama"
Mozart in the Jungle Season 1,8.2,2014,18+,"Comedy: Drama, Drama: Comedy, Comedy: Mature"
You Are Wanted – Season 1,n/a,2017,NR,Drama
Bosch Season 1,8.3,2015,18+,Drama
Good Girls Revolt,8.1,2016,NR,Drama
Eat the World with Emeril Lagasse Season 1,8.4,2016,18+,"Documentary: Travel/Places of Interest, Special Interest: Food/Drink"
Transparent Season 1,8,2014,18+,"Comedy, Drama"
Crisis in Six Scenes Season 1,6.7,2016,18+,Comedy
Red Oaks Season 1,7.9,2015,18+,Comedy
One Mississippi – Season 1,7.1,2016,18+,Drama: Comedy
The Man In the High Castle,8.1,2016,18+,"Drama: Thriller, Drama: Political, Drama: War, Drama: Mystery, Thriller: Sci-Fi/Fantasy, Thriller: Mystery, Thriller: Drama"
Hand of God,7.5,2015,18+,Drama
Bosch,8.3,2016,18+,Drama
Mozart in the Jungle,8.2,2015,18+,"Drama, Comedy"
Mozart in the Jungle,8.2,2016,18+,"Drama, Comedy"
Red Oaks,7.9,2016,18+,Comedy
Transparent,8,2015,18+,Comedy
Transparent,8,2016,18+,Drama: Comedy
Apocalypse Now,5.6,2017,NR,"Drama: Crime, Action/Adventure: Crime"
Hiraeth,8.7,2016,18+,"Comedy: Drama, Drama: Mature"
Folie a Deux,7.9,2017,16+,"Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery"
"The Girlfriend Experience, Season 1",7.3,2016,18+,"Drama: Mature, Drama: Crime, Drama: Thriller"
Keep Calm and Carry On,8.6,2017,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
2 Broke Girls: The Complete Fifth Season,6.8,2016,16+,Comedy
The Greater Good,7.5,2017,16+,Drama: Crime
The Vampire Diaries: Season 8,7.8,2017,16+,"Thriller: Sci-Fi/Fantasy, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Horror: Werewolves, Romance: Drama"
Together With Remembrance of Ourselves,7.4,2017,NR,Drama
Chhota Bheem – Season 9,4.9,2007,All Ages,"World Cinema: Indian, Animated: Children, Children: Animated/Cartoon"
Rogue,7.9,2017,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Bulling Through,8,2015,18+,"Music/Musical: Ballet/Dance, LGBTQ: Drama, Drama: Plays/Performance, Drama"
In Night So Ransomed Rogue,7.6,2017,16+,"Drama: Thriller, Drama, Drama: Mystery, Drama: Crime"
Monster,7.1,2016,18+,Drama: Thriller
Mighty Raju Season 03,,2007,All Ages,"World Cinema: Indian, Animated: Children, Children: Animated/Cartoon"
Hand of Five Poisons,8.1,2015,16+,"Drama, Action/Adventure: Martial Arts, Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure"
The Core Group,7.5,2017,7+,Comedy: Family
Lethal Weapon: Season 1,8,2017,NR,"Action/Adventure: Crime, Action/Adventure, Drama: Crime"
EIC vs The World – Season 1,8.8,2017,NR,"Comedy, World Cinema: Indian"
The Mentalist: The Complete First Season,8.1,2009,16+,"Drama: Crime, Drama: Mystery"
Two and a Half Men: The Complete First Season,7.1,2003,16+,Comedy
2 Broke Girls: The Complete Sixth Season,6.8,2017,16+,Comedy
Supernatural: Season 12,8.6,2017,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
Person of Interest: The Complete First Season,8.5,2012,16+,"Action/Adventure: Crime, Drama: Thriller, Drama: Crime, Thriller: Crime, Drama: Mystery"
The Night Manager – Season 1,8.2,2016,18+,"Thriller: Mystery, Thriller: Crime, Drama: Crime, Drama: Thriller, Drama: Mystery"
Lethal Weapon: Season 1,8,2017,NR,"Action/Adventure: Crime, Action/Adventure, Drama: Crime"
Mr. Robot – Season 1,8.7,2015,18+,"Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Crime, Thriller: Mystery, Thriller: Political, Thriller: Psychological, Drama: Political"
Elementary – Season 5,7.9,2017,16+,"Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery"
Shameless: The Complete First Season,8.7,2011,18+,"Comedy: Drama, Drama: Mature"
CONSTANTINE: Season 1,7.5,2015,16+,"Sci-Fi/Fantasy: Thriller, Thriller: Supernatural, Sci-Fi/Fantasy: Action/Adventure, Action/Adventure: Superheroes"
Mad Men – Season 1,8.6,2007,16+,"Drama: Historical, Drama"
"Inside the Titanic, Season 1",,2012,NR,"Documentary: History, Drama: Historical"
The Good Wife – Season 1,8.3,2010,16+,"Drama, Drama: Romance, Drama: Crime"
Beauty and the Beast – Season 1,7.2,2013,16+,"Drama: Crime, Drama: Mystery, Drama: Romance, Sci-Fi/Fantasy"
Fringe: The Complete First Season,8.5,2009,16+,"Drama: Crime, Drama: Mystery, Sci-Fi/Fantasy, Drama"
"Seinfeld, Season 1",8.9,1990,13+,Comedy
The Originals: The Complete First Season,8.3,2014,16+,"Thriller: Sci-Fi/Fantasy, Horror: Werewolves, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Romance: Drama"
The Middle: Season 8,7.5,2017,7+,Comedy: Family
The Vampire Diaries,7.8,2017,16+,"Thriller: Sci-Fi/Fantasy, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Horror: Werewolves, Romance: Drama"
The Girlfriend Experience,7.3,2016,18+,"Drama: Mature, Drama: Crime, Drama: Thriller"
The Grand Tour,9,2017,16+,"Comedy: Sport, Sport: Motor Sport, Documentary: Travel/Places of Interest"
The Vampire Diaries,7.8,2010,16+,"Thriller: Sci-Fi/Fantasy, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Horror: Werewolves, Romance: Drama"
The Man In the High Castle,8.1,2015,18+,"Drama: Thriller, Drama: Political, Drama: War, Drama: Mystery, Thriller: Sci-Fi/Fantasy, Thriller: Mystery, Thriller: Drama"
Goliath,8.3,2016,18+,"Drama: Thriller, Drama: Crime"
2 Broke Girls,6.8,2012,16+,Comedy
Z: The Beginning of Everything,7.4,2017,18+,"Drama: Biography, Drama: Romance"
Sneaky Pete,8.4,2017,18+,"Drama, Drama: Crime"
Fleabag,8.2,2016,18+,Comedy: Mature
The Mentalist,8.1,2009,16+,"Drama: Crime, Drama: Mystery"
Supernatural,8.6,2006,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
The Vampire Diaries,7.8,2011,16+,"Thriller: Sci-Fi/Fantasy, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Horror: Werewolves, Romance: Drama"
The Mentalist,8.1,2013,16+,"Drama: Crime, Drama: Mystery"
The Mentalist,8.1,2011,16+,"Drama: Crime, Drama: Mystery"
The Vampire Diaries,7.8,2012,16+,"Thriller: Sci-Fi/Fantasy, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Horror: Werewolves, Romance: Drama"
Two and a Half Men,7.1,2004,16+,Comedy
Two and a Half Men,7.1,2005,16+,Comedy
2 Broke Girls,6.8,2016,16+,Comedy
The Vampire Diaries,7.8,2013,16+,"Thriller: Sci-Fi/Fantasy, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Horror: Werewolves, Romance: Drama"
