,Title,Year of release,Genres
0,12 MonkeysSeason 1 (13 episodes)Season 2 (13 episodes),2016,TV Sci-Fi & Fantasy TV Mysteries TV Dramas US TV Shows TV Thrillers Cyberpunk
1,12 Years PromiseSeason 1 (26 episodes),2014,TV Comedies TV Dramas Romantic TV Shows Korean TV Shows
2,13 Reasons WhyOriginalSeason 1 (13 episodes)Season 2 (13 episodes),2018,TV Mysteries TV Dramas Crime TV Dramas Crime TV Shows Teen TV Shows US TV Shows TV Shows based on Books
3,13 Reasons Why: Beyond the ReasonsOriginalSeason 2 (1 episodes)Season 1 (1 episodes),2018,Documentaries Crime Documentaries Docuseries Crime TV Shows US TV Shows
4,1983OriginalSeason 1 (8 episodes),2018,TV Mysteries TV Dramas Political TV Shows Crime TV Dramas Crime TV Shows TV Thrillers Polish TV Shows
5,2 WeeksSeason 1 (16 episodes),2013,TV Action & Adventure TV Dramas Crime TV Dramas Crime TV Shows Korean TV Shows
6,20 MinutesSeason 1 (59 episodes),2013,TV Dramas Crime TV Dramas Crime TV Shows
7,21 Sarfarosh: Saragarhi 1897Season 1 (65 episodes),2018,TV Dramas Indian TV Shows
8,21 ThunderOriginalSeason 1 (8 episodes),2017,TV Dramas Crime TV Dramas Crime TV Shows Canadian TV Shows
9,28 MoonsSeason 1 (2 episodes),2016,TV Dramas Romantic TV Shows Korean TV Shows
10,3%OriginalSeason 1 (8 episodes)Season 2 (10 episodes),2018,TV Sci-Fi & Fantasy TV Dramas Teen TV Shows Latin American TV Shows Brazilian TV Shows
11,3Below: Tales of ArcadiaOriginalPart 1 (13 episodes),2018,TV Sci-Fi & Fantasy Animation TV Action & Adventure TV Cartoons Kids' TV Shows Adventures Animated Movies & TV for Kids Family Watch Together TV
12,46Season 1 (13 episodes),2016,TV Mysteries TV Dramas TV Thrillers
13,49 Days49 Days (20 episodes),2011,TV Sci-Fi & Fantasy TV Dramas Romantic TV Shows Korean TV Shows
14,6 Puppies & UsSeason 1 (2 episodes),2018,Documentaries Docuseries British TV Shows Movies & TV for Kids Family Watch Together TV
15,7 Days OutOriginalSeason 1 (6 episodes),2018,Documentaries Docuseries US TV Shows
16,72 Cutest AnimalsSeason 1 (12 episodes),2016,Science & Nature Docs Documentaries Docuseries Australian TV Shows Science & Nature TV Movies & TV for Kids Family Watch Together TV
17,72 Dangerous Animals: AsiaOriginalSeason 1 (12 episodes),2018,Science & Nature Docs Documentaries Docuseries Australian TV Shows Science & Nature TV
18,72 Dangerous Animals: AustraliaSeason 1 (12 episodes),2014,Science & Nature Docs Documentaries Docuseries Australian TV Shows Science & Nature TV
