,Title,Year of release,Runtime (mins),Genres,Platform
0,Sur: The Melody of Life,2002,137,Bollywood Movies,AmazonPrime
1,Surf's Up,2007,86,Animated,AmazonPrime
2,Surga Yang Tak Dirindukan,2015,121,Dramas,AmazonPrime
3,Surga Yang Tak Dirindukan 2,2017,119,Dramas,AmazonPrime
4,Survivors Guide to Prison,2017,103,Crime Documentaries,AmazonPrime
5,Sustainable,2016,92,Documentaries,AmazonPrime
6,Swades,2004,185,Bollywood Movies,AmazonPrime
7,Swearnet LiveOriginal,2014,75,Canadian Movies,AmazonPrime
8,Swearnet: The Movie,2014,112,Canadian Movies,AmazonPrime
9,Sweet Virginia,2017,93,Crime Dramas,AmazonPrime
10,Sword Art Online: Extra Edition,2013,100,Action & Adventure,AmazonPrime
11,Sword Masters: Two Champions of Shaolin,1980,101,Action & Adventure,AmazonPrime
12,Sydney White,2007,108,Comedies,AmazonPrime
13,Sylvanian Families: A Town of Dreams ,2017,11,Animated,AmazonPrime
14,Sylvanian Families: The Treasure of Sylvania Village ,2017,22,Animated,AmazonPrime
15,Synchronicity,2015,101,Dramas,AmazonPrime
16,TAUOriginal,2018,98,Cyberpunk,AmazonPrime
17,TE3N,2016,128,Crime Dramas,AmazonPrime
18,THE MECHANIC,2011,92,Action & Adventure,AmazonPrime
19,Taal,1999,177,Bollywood Movies,AmazonPrime
20,Taare Zameen Par,2007,162,Bollywood Movies,AmazonPrime
21,Tactical Force,2011,88,Action & Adventure,AmazonPrime
22,Tahaan,2008,95,Bollywood Movies,AmazonPrime
23,Tai Chi Hero,2012,102,Action & Adventure,AmazonPrime
24,Tai Chi Zero,2012,98,Action & Adventure,AmazonPrime
25,Taj Mahal,2015,90,Dramas,AmazonPrime
26,Take Me,2017,84,Comedies,AmazonPrime
27,Take Your PillsOriginal,2018,88,Documentaries,AmazonPrime
28,Take the 10Original,2017,80,Comedies,AmazonPrime
29,Tales of Halloween,2015,97,Comedies,AmazonPrime
30,TallulahOriginal,2016,112,Dark Movies,AmazonPrime
31,Tamanchey,2014,111,Action & Adventure,AmazonPrime
32,Tamasha,2015,133,Bollywood Movies,AmazonPrime
33,Tangerine,2015,88,Comedies,AmazonPrime
34,Tangled,2010,101,Adventures,AmazonPrime
35,Tanu Weds Manu,2011,114,Bollywood Movies,AmazonPrime
36,Taramani,2017,148,Dramas,AmazonPrime
37,Target,2018,91,Comedies,AmazonPrime
38,Tarzan,1999,89,Adventures,AmazonPrime
39,Tathastu,2006,113,Bollywood Movies,AmazonPrime
40,Taxi Driver,2015,94,African Movies,AmazonPrime
41,Taylor Swift reputation Stadium TourOriginal,2018,125,Movies & TV for Kids,AmazonPrime
42,Team FoxcatcherOriginal,2016,91,Biographical Documentaries,AmazonPrime
43,Tears of the Sun,2003,121,Action & Adventure,AmazonPrime
44,Ted,2012,106,Comedies,AmazonPrime
